ΕΦΑΡΜΟΓΗ,ΘΕΜΑΤΙΚΗ ΕΝΟΤΗΤΑ,ΓΝΩΣΤΙΚΟ ΑΝΤΙΚΕΙΜΕΝΟ,ΕΚΠΑΙΔΕΥΤΙΚΗ ΒΑΘΜΙΔΑ,"URL
",ΠΕΡΙΓΡΑΦΗ,"ΑΔΕΙΑ
",ΕΙΔΟΣ,ΛΕΙΤΟΥΡΓΙΚΟ
Johnny Simulator,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://sourceforge.net/projects/johnnysimulator/,simulator of a simple (virtual) von-Neumann Computer,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
juk,ΜΟΥΣΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/multimedia/juk/,Musιc Player,,,,
JUMP GIS,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΓΕΩΓΡΑΦΙΑ,"ΓΥΜΝΑΣΙΟ
",http://jump-pilot.sourceforge.net,Σύστημα Γεωγραφικ'ων Πληροφοριών,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
k3b,ΕΡΓΑΛΕΙΑ ΣΥΣΤΗΜΑΤΟΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,http://k3b.plainblack.com/,Εγγραφή οπτικών δίσκων,,,,
kapman,"ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/games/kapman/,Παιχνίδι τυπου pacman,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
Kazam,ΔΗΜΙΟΥΡΓΙΑ ΔΙΑΔΡΑΣΤΙΚΩΝ ΙΣΤΟΡΙΩΝ,,"ΠΡΩΤΟΒΑΘΜΙΑ
",https://sourceforge.net/projects/kazam/,ΔΗΜΙΟΥΡΓΙΑ ΔΙΑΔΡΑΣΤΙΚΩΝ ΙΣΤΟΡΙΩΝ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS,
Kblocks,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/games/kblocks/,Παιχνίδι τύπου Tetris,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
KDEnlive,ΒΙΝΤΕΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://kdenlive.org/,ΒΙΝΤΕΟ ΕΠΕΞΕΡΓΑΣΙΑ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
KiCad,ΗΛΕΚΤΡΟΝΙΚΗ,ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://kicad-pcb.org/,ΗΛΕΚΤΡΟΝΙΚΗ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Kig,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΜΑΘΗΜΑΤΙΚΑ,ΠΡΩΤΟΒΑΘΜΙΑ,https://edu.kde.org/kig/?site_locale=el,ΓΕΩΜΕΤΡΙΑ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
Kizoa,ΒΙΝΤΕΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.kizoa.com/,ΒΙΝΤΕΟ ΕΠΕΞΕΡΓΑΣΙΑ,,ΠΛΑΤΦΟΡΜΑ,ONLINE,
klogic,ΗΛΕΚΤΡΟΝΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.a-rostin.de/,ΗΛΕΚΤΡΟΝΙΚΗ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
Kodi,ΠΟΛΥΜΕΣΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://kodi.tv/,ΠΟΛΥΜΕΣΑ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,,
Kodu,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kodugamelab.com,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,,,,
Koha,ΔΙΑΧΕΙΡΙΣΗ ΒΙΒΛΙΟΘΗΚΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://koha-community.org,Διαχείριση Βιβλιοθηκών,OPEN SOURCE,,,
kollision,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/games/kollision/,Παιχνίδι εξοικειωσης με το ποντικι,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
kolourpaint,ΖΩΓΡΑΦΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/graphics/kolourpaint/,Απλή εφαρμογή ζωγραφικής,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
Kompozer,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
",http://kompozer.net/,"Πρόγραμμα επεξεργασία HTML- Δημιουργία ιστοσελίδων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
ksquares,"ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ
",ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/games/ksquares/,Παιχνίδι - Ενώνω σημεία για δημιουργία τετραγώνων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
ktuberling,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΠΡΟΣΧΟΛΙΚΗ,https://www.kde.org/applications/games/ktuberling/,,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
KTurtle,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΠΡΩΤΟΒΑΘΜΙΑ, https://edu.kde.org/kturtle/,Το πρόγραμμα αυτό αποτελεί ένα χρήσιμο εργαλείο για τη διδασκαλία της γεωμετρίας και βασικών αρχών προγραμματισμού σε παιδιά.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX,
Kuali OLE,ΔΙΑΧΕΙΡΙΣΗ ΒΙΒΛΙΟΘΗΚΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.kuali.org/ole,Διαχείριση Βιβλιοθηκών,OPEN SOURCE,,,
LAMS,ΑΝΟΙΧΤΟ ΕΚΠΑΙΔΕΥΤΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ, https://wiki.lamsfoundation.org/display/lams/Home,Σύστημα Διαχείρισης Μαθησιακών Δραστηριοτήτων (LAMS) - Σχεδιασμού Μάθησης https://www.lamsfoundation.org/ (ΕΛΛΑΚ) και ως υπηρεσία στο ΠΣΔ http://lams.sch.gr/lams,,OER,OER,
Leaflet,ΔΙΑΔΡΑΣΤΙΚΟΙ ΧΑΡΤΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://leafletjs.com/,open-source JavaScript library για διαδραστικούς χάρτες για κινητά,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,,
LEARN GENETICS,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΒΙΟΛΟΓΙΑ,"ΛΥΚΕΙΟ
",http://learn.genetics.utah.edu/,,OER,ΠΛΑΤΦΟΡΜΑ,ΟΝLINE,
Libav,ΜΟΥΣΙΚΗ ΕΠΕΞΕΡΓΑΣΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://libav.org/,"Εργαλεία και βιβλιοθηκες για μετατροπή και χειρισμό αρχείων πολυμέσων
","OPEN SOURCE
",ΕΦΑΡΜΟΓΗ,,
LibLime Koha,ΔΙΑΧΕΙΡΙΣΗ ΒΙΒΛΙΟΘΗΚΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://liblime.com,Διαχείριση Βιβλιοθηκών,OPEN SOURCE,,,
Libre CAD,ΣΧΕΔΙΑΣΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://librecad.org/cms/home.html,To LibreCAD είναι ένα πρόγραμμα CAD που έχει σχεδιαστεί για να λειτουργεί σε όλα τα λειτουργικά συστήματα. Είναι ένα fork του QCad και του LibreCAD και έχει ένα γραφικό που θα φανεί γνωστό για τους χρήστες του AutoCAD. Το LibreCAD από προεπιλογή χρησιμοποιεί τη μορφή αρχείων AutoCAD DXF για την εισαγωγή και την αποθήκευση και προορίζεται  περισσότερο για σχέδια 2D.,"OPEN SOURCE
",ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
LibreOffice,ΕΦΑΡΜΟΓΕΣ ΓΡΑΦΕΙΟΥ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,,,,,,
Libreplan,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.libreplan.com/home,Διαχείριση έργων,,,,
lightbot ,ΚΟΥΙΖ - ΠΑΖΛ -ΤΕΣΤ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,https://lightbot.com/,Πλατφόρμα δημιουργίας  Κουιζ,,ΠΛΑΤΦΟΡΜΑ,ONLINE,
lightbot (ages 4-8),ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΠΛΗΡΟΦΟΡΙΚΗ,ΠΡΟΣΧΟΛΙΚΗ,https://lightbot.com/hour-of-code-2015-flash.html,Παιχνίδι με προγραμματισμό,,,,
Likinux,ΛΕΙΤΟΥΡΓΙΚΟ ΣΥΣΤΗΜΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://likinux.blogspot.gr/,"Μια διανομή Linux για μαθητές, φοιτητές, εκπαιδευτικούς κι ανειδίκευτους χρήστες. Το Likinux 2012 είναι ένα πλήρες, εξελληνισμένο και δωρεάν περιβάλλον εργασίας για PCs, laptops, netbooks και tablets (ειδικά παραμετροποιημένο για εργαστήρια Πληροφορικής). Είναι βασισμένο στο Ubuntu 11.10 64bit, ενώ διαθέτει πληθώρα εφαρμογών και ρυθμίσεων που θα ικανοποιήσουν και τον πιο απαιτητικό χρήστη.",OPEN SOURCE,OPERATING SYSTEM,LINUX,
LimeSurvey,ΔΗΜΙΟΥΡΓΙΑ ΕΡΩΤΗΜΑΤΟΛΟΓΙΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://limesurvey.org,Πλατφόρμα δημιουργίας ερωτηματολογιών - Κουιζ,,ΠΛΑΤΦΟΡΜΑ,"
",
Linphone,ΙΝΤΕΡΝΕΤΙΚΗ ΤΗΛΕΦΩΝΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.linphone.org/,"Linphone is an open source SIP Phone, available on mobile and desktop environments (iOS, Android, Windows Phone 8, GNU/Linux, Windows Desktop, MAC OSX) and on web browsers.",OPEN SOURCE,,CROSSPLATFORM,
"Linux MultiMedia Studio,",ΠΟΛΥΜΕΣΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://lmms.io/,"LMMS (formerly Linux MultiMedia Studio) is digital audio workstation software. When LMMS is executed on a computer with appropriate hardware, music can be produced by synthesizing sounds, arranging samples, playing on a MIDI keyboard, and combining the features of trackers, sequencers, and synthesizers. ",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
LinuxCNC,"CAD
","ΜΗΧΑΝΟΛΟΓΙΑΣ
",ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.linuxcnc.org/,"Σχεδιαστικά CAD, Μηχανολογίας",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
Logisim,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,"ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",http://www.cburch.com/logisim/index.html,Σχεδιασμός κυκλωμάτων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
Logo,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,,,,,,
LOOK AT ME,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
",,Βλεμματική Επαφή,"
","ΕΦΑΡΜΟΓΗ
",,
Mahara,ΔΗΜΙΟΥΡΓΙΑ E-PORTFOLIO,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,"ΛΥΚΕΙΟ
",https://mahara.org/,Δημιουργία e-portfolio,OPEN SOURCE,ΠΛΑΤΦΟΡΜΑ,ONLINE,
marble,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΓΕΩΓΡΑΦΙΑ,ΛΥΚΕΙΟ,https://marble.kde.org/,virtual globe and world atlas,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Mautic,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://www.mautic.org/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
maxima,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΜΑΘΗΜΑΤΙΚΑ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://maxima.sourceforge.net/,Εργαλείο υλοποίησης αλγεβρικών πράξεων ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
mazesmith,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,http://maze.sxoleio.cu.cc/,Παιχνίδι - Φτιάξτε λαβύρινθους και εκτυπώστε ή παίξτε στον browser,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
MicroWorlds Pro Γ΄,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία της γλώσσας Logo στη Γ´ τάξη του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Mindmaps,ΝΟΗΤΙΚΟΙ ΧΑΡΤΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://drichard.org/mindmaps/,HTML5 based mind mapping application,OPEN SOURCE,ΠΛΑΤΦΟΡΜΑ,ONLINE,
MindRaider,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://mindraider.sourceforge.net,Διαχείριση έργων,,,,
minisebran,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,http://online.seterra.com/en/p/minisebran,,,,,
Molecular Workbench,"ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ
",ΦΥΣΙΚΗ#ΧΗΜΕΙΑ,ΛΥΚΕΙΟ,http://mw.concord.org/modeler/,Is a modeling tool for designing and conducting computational experiments across science.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Moodle,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,"
ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ
",ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://moodle.org,Πλατφόρμες eLearning,,,,
moovly,ΠΟΛΥΜΕΣΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,https://www.moovly.com/,Πλατφόρμα δημιουργίας πολυμσεικού περιεχομένου,,ΠΛΑΤΦΟΡΜΑ,,
Mortran Mouse Maze,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΠΛΗΡΟΦΟΡΙΚΗ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Προγραμματίστε ένα ποντίκι-ρομπότ να πλοηγείται σε μια ποικιλία λαβυρίνθων,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
MSWLogo,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,"ΠΛΗΡΟΦΟΡΙΚΗ
",ΠΡΩΤΟΒΑΘΜΙΑ,http://www.softronix.com/,Περιβάλλον προγραμματισμού LOGO,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS,
MuseScore,ΜΟΥΣΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://musescore.org/el,"Εφαρμογή Εγγραφής Μουσικού Κειμένου
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Natron,"ΕΠΕΞΕΡΓΑΣΙΑ ΠΟΛΥΜΕΣΩΝ
",ΕΦΑΡΜΟΣΜΕΝΩΝ ΤΕΧΝΩΝ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://natron.fr/,"Επεξεργασία πολυμέσων
",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
netbeans,ΕΡΓΑΛΕΙΑ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ,ΠΛΗΡΟΦΟΡΙΚΗ,ΠΡΟΣΧΟΛΙΚΗ,https://netbeans.org/,NetBeans is a software development platform written in Java.,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
notepad++,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://notepad-plus-plus.org/,"Notepad++ is a free (as in ""free speech"" and also as in ""free beer"") source code editor and Notepad replacement that supports several languages. Running in the MS Windows environment, its use is governed by GPL License.",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS,
Ns-3,ΗΛΕΚΤΡΟΝΙΚΗ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,https://www.nsnam.org/,"ns-3 is a discrete-event network simulator for Internet systems, targeted primarily for research and educational use",OPEN SOURCE,"SOURCE CODE
",,
ObjectKAREL,ΕΡΓΑΛΕΙΑ ΑΝΑΠΤΥΞΗΣ ΛΟΓΙΣΜΙΚΟΥ,ΠΛΗΡΟΦΟΡΙΚΗ,"ΛΥΚΕΙΟ
",,Εκπαιδευτικό προγραμματιστικό περιβάλλον  για μια εισαγωγή στον αντικειμενοστραφή προγραμματισμό που αναπτύχθηκε στο Πανεπιστήμιο Μακεδονίας,,,,
Odoo,"ERP/CRM
","
ΔΙΟΙΚΗΣΗΣ ΚΑΙ ΟΙΚΟΝΟΜΙΑΣ","ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",https://www.odoo.com/,ERP/CRM,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
odt2braille,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
",http://odt2braille.sourceforge.net/downloads.html,Eπέκταση για το open office. Μετατροπέας έντυπης γραφής σεBraille,AEGIS,"ΕΦΑΡΜΟΓΗ
","Linux, Windows",
Okular,ΠΡΟΒΟΛΗ ΕΓΓΡΑΦΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,https://okular.kde.org/,Εφαρμογή προβολής εγγράφων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Omeka,ΔΙΑΧΕΙΡΙΣΗ ΠΕΡΙΕΧΟΜΕΝΟΥ,ΕΦΑΡΜΟΣΜΕΝΩΝ ΤΕΧΝΩΝ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://omeka.org/,"Πλατφόρμα διαχείρισης και παρουσίασης περιεχομένου
",OPEN SOURCE,ΠΛΑΤΦΟΡΜΑ,"CROSSPLATFORM
",
Open Circuit Design,ΗΛΕΚΤΡΟΝΙΚΗ,"ΤΕΧΝΙΚΗ ΕΚΠΑΙΔΕΥΣΗ
",ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://opencircuitdesign.com/,Συλλογή εφαρμογών ηλεκτρονικής σχεδιασης ,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
Open-Sancore,ΔΙΑΔΡΑΣΤΙΚΟΙ ΠΙΝΑΚΕΣ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://open-sankore.org/,Λογισμικό για διαδραστικούς πίνακες,"OPEN SOURCE
",ΕΦΑΡΜΟΓΗ,CROSSPLATFORM,
OpenBiblio,ΔΙΑΧΕΙΡΙΣΗ ΒΙΒΛΙΟΘΗΚΩΝ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://obiblio.sourceforge.net,Διαχείριση Βιβλιοθηκών,OPEN SOURCE,,,
Openeclass,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.openeclass.org,"Η πλατφόρμα Open eClass είναι ένα ολοκληρωμένο Σύστημα Διαχείρισης Ηλεκτρονικών Μαθημάτων και συνιστά προσφορά του Ελληνικού Ακαδημαϊκού Διαδικτύου (GUnet) στην εκπαιδευτική και ακαδημαϊκή κοινότητα. Έχει σχεδιαστεί με προσανατολισμό την ενίσχυση της εκπαιδευτικής διαδικασίας, βασίζεται στη φιλοσοφία του λογισμικού ανοικτού κώδικα, υποστηρίζεται ενεργά από το GUnet και διανέμεται ελεύθερα. Βασική επιδίωξη της πλατφόρμας είναι η ενσωμάτωση των νέων τεχνολογιών και η εποικοδομητική χρήση του διαδικτύου στην εκπαιδευτική διαδικασία.",,,,
OpenELMS,ΠΛΑΤΦΟΡΜΕΣ E-LEARNING,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://www.openelms.org,Πλατφόρμες eLearning,,,,
openEMR,ΠΛΑΤΦΟΡΜΑ ΙΑΤΡΙΚΩΝ - ΝΟΣΟΚΟΜΕΙΩΝ- ΑΣΘΕΝΩΝ ,ΥΓΕΙΑΣ - ΠΡΟΝΟΙΑΣ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://open-emr.org/,"Διαχείριση ασθενών - Νοσοκομείου
",OPEN SOURCE,"ΕΦΑΡΜΟΓΗ
","CROSSPLATFORM
",
openMRS,ΠΛΑΤΦΟΡΜΑ ΙΑΤΡΙΚΩΝ - ΝΟΣΟΚΟΜΕΙΩΝ- ΑΣΘΕΝΩΝ ,ΥΓΕΙΑΣ - ΠΡΟΝΟΙΑΣ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://openmrs.org/,"Διαχείριση ασθενών - Νοσοκομείου
",OPEN SOURCE,"ΕΦΑΡΜΟΓΗ
","CROSSPLATFORM
",
OpenSCAD,"CAD
","ΜΗΧΑΝΟΛΟΓΙΑΣ
",ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.openscad.org/,"Σχεδιαστικά CAD, Μηχανολογίας",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"CROSSPLATFORM
",
